date,topic,volume1mo,share_pct,event_count
2026-09-25,Sports,5842936308.63952637,34.04313914,1221
2026-09-25,Politics,3767902769.69873428,21.95321521,228
2026-09-25,Crypto,2438173030.05959892,14.20571085,303
2026-09-25,Business/Economy,2133059869.26666856,12.42800710,48
2026-09-25,Geopolitics,1886449224.15543890,10.99116096,127
2026-09-25,Culture,882248821.81793714,5.14031265,44
2026-09-25,Tech & Science,176324642.50352091,1.02733352,22
2026-09-25,Unclassified,36235319.25287500,0.21112057,7
2026-09-25,Total,17163329985.39430046,100.00000000,2000
