date,topic,volume1mo,share_pct,event_count
2026-09-16,Unclassified,386921.44000000,82.46548108,179
2026-09-16,Business/Economy,40560.99000000,8.64485967,24
2026-09-16,Tech & Science,34873.15000000,7.43259689,29
2026-09-16,Geopolitics,6836.42000000,1.45706235,10
2026-09-16,Total,469192.00000000,100.00000000,242
