date,topic,volume1mo,share_pct,event_count
2026-09-26,Sports,5825561071.77270222,33.97273267,1219
2026-09-26,Politics,3763448842.44748354,21.94718069,228
2026-09-26,Crypto,2439903873.87884998,14.22870708,304
2026-09-26,Business/Economy,2131875546.65461040,12.43238843,47
2026-09-26,Geopolitics,1892796795.72477841,11.03816075,129
2026-09-26,Culture,882261450.00914419,5.14505505,44
2026-09-26,Tech & Science,175672411.87960190,1.02446302,22
2026-09-26,Unclassified,36235319.25287500,0.21131232,7
2026-09-26,Total,17147755311.62004471,100.00000000,2000
